1:95.4137 2:96.1071 3:96.275 14:92.8674 20:99.0173 33:99.4445
2:44.7366 32:69.8188 41:59.3236 45:45.7374 46:72.7665 47:67.0997
1:44.7366 32:76.2124 41:66.0029 45:61.4617 46:75.7577 47:74.6469
20:70.8455 34:75.1433 51:74.5906 52:74.2403 53:74.8214 54:69.5077
5:60.9789 6:69.964 7:72.3102 8:69.1906 10:72.4203 63:68.3748
7:57.8391 8:49.1603 9:58.9995 10:49.3273 32:60.1727 53:56.3408
5:61.6092 7:57.859 8:56.7956 9:50.1419 10:52.8995 32:64.3697
5:57.8391 6:57.859 8:36.8491 9:51.9604 10:47.1503 44:63.7527
5:49.1603 7:36.8491 9:50.0312 10:37.6643 32:56.7661 63:56.2428
5:58.9995 6:50.1419 7:51.9604 8:50.0312 10:37.2278 50:62.4652
5:49.3273 6:52.8995 7:47.1503 8:37.6643 9:37.2278 32:54.468
24:67.4071 33:59.4771 37:64.9323 38:65.0565 52:65.2342 53:64.4644
20:68.4099 22:69.3502 37:69.0996 38:68.978 52:69.3225 53:62.0381
20:62.6493 35:63.4226 39:64.5543 57:64.6215 58:59.8582 63:60.8632
22:60.5465 25:61.6608 30:61.6037 38:62.0018 57:60.181 59:57.39
14:77.7082 20:72.4524 34:77.4121 37:77.9694 38:78.5627 54:77.8531
20:79.3459 34:73.9454 37:78.317 51:75.7797 54:76.2041 55:80.1753
23:74.3113 36:75.0206 57:73.8234 58:73.9215 59:74.7622 63:73.2765
14:70.1449 22:68.9393 30:67.6069 52:69.962 53:65.6314 59:69.8374
22:71.2885 24:70.6282 26:65.0672 57:69.6289 58:63.3744 59:60.5982
27:53.9332 29:54.8075 35:52.0352 53:49.6276 54:52.381 58:51.8615
13:81.4876 20:74.055 24:80.7647 29:75.1432 31:79.2314 34:81.1338
25:48.3777 30:47.8564 35:56.0177 37:55.684 38:54.9575 53:51.5662
20:62.7029 36:68.5149 57:64.367 58:65.7387 59:68.7549 63:64.9422
20:58.5399 29:56.3888 33:57.1442 35:59.0594 38:56.4865 40:57.4482
20:60.0286 22:48.3777 30:56.6178 35:58.2861 39:56.0933 53:56.124
24:59.5113 29:61.0389 31:61.3869 38:61.8507 58:61.9719 59:60.6598
20:53.9332 38:59.9601 53:59.3733 57:56.2528 58:55.4209 59:60.3206
20:72.4715 25:69.6438 27:71.9611 35:69.4905 39:67.4824 57:72.1461
20:54.8075 24:56.3888 26:61.0389 38:55.4742 53:57.736 58:60.3607
22:47.8564 25:56.6178 32:59.4991 37:61.0826 53:52.1098 57:60.3189
13:67.7361 24:59.5948 26:61.3869 29:64.0318 38:63.0558 59:67.622
8:56.7661 10:54.468 30:59.4991 37:58.347 53:53.4429 56:58.5209
11:59.4771 24:57.1442 37:58.9327 52:61.095 53:60.7169 56:61.1561
20:61.3943 35:63.0743 37:57.2759 53:62.7488 54:60.0852 55:58.84
20:52.0352 22:56.0177 25:58.2861 39:55.9366 53:50.2836 55:58.026
22:64.8891 38:65.1214 39:64.7896 57:60.4276 58:65.1305 59:59.955
22:55.684 34:57.2759 38:55.9923 53:52.0871 55:53.8794 56:38.4297
22:54.9575 24:56.4865 29:55.4742 37:55.9923 53:53.0835 59:56.2651
20:61.2287 22:58.0783 25:56.0933 30:61.2968 35:55.9366 53:60.0017
22:62.0161 24:57.4482 33:65.5471 35:65.4841 38:65.2154 53:63.088
1:59.3236 2:66.0029 32:84.7076 45:56.226 46:74.0307 47:42.0825
8:67.6277 10:69.2727 43:68.9394 44:63.3971 61:69.9 66:58.769
8:68.8852 10:70.1715 42:68.9394 44:58.6815 61:62.1906 62:72.9618
8:57.6677 10:58.5079 43:58.6815 60:58.5307 61:34.3628 62:54.9535
1:45.7374 2:61.4617 32:85.2794 41:56.226 46:77.8285 47:61.469
1:72.7665 2:75.7577 32:85.6154 41:74.0307 45:77.8285 47:71.4848
1:67.0997 2:74.6469 32:90.3554 41:42.0825 45:61.469 46:71.4848
14:82.4882 30:83.6001 49:65.8925 53:84.5319 64:73.3174 66:84.1713
13:77.5559 14:73.2393 20:77.0162 34:76.1253 48:65.8925 64:65.9366
8:61.9257 10:56.3585 37:59.0551 53:61.7602 56:58.2417 63:61.1733
3:74.5906 16:75.7797 20:76.0618 34:73.0575 37:76.5975 54:75.3034
20:55.9655 32:60.2512 33:61.095 37:59.3004 53:48.7202 56:58.3918
20:49.6276 22:51.5662 30:52.1098 35:50.2836 37:52.0871 52:48.7202
20:52.381 34:60.0852 35:58.6152 37:57.6288 53:52.8459 56:59.1112
20:60.1088 34:58.84 35:58.026 37:53.8794 53:54.7336 56:54.5432
10:58.2264 22:58.2522 37:38.4297 50:58.2417 53:53.1426 55:54.5432
14:60.181 20:57.8768 27:56.2528 38:58.5703 58:51.5167 59:52.9205
20:51.8615 27:55.4209 53:57.981 57:51.5167 59:54.1979 63:55.4682
14:57.39 36:59.955 38:56.2651 53:59.5649 57:52.9205 58:54.1979
10:77.3667 42:76.994 43:75.9534 44:58.5307 61:62.2964 62:70.4056
8:63.2494 10:66.0027 43:62.1906 44:34.3628 60:62.2964 62:52.5397
8:76.7415 42:77.7802 43:72.9618 44:54.9535 60:70.4056 61:52.5397
8:56.2428 10:59.4484 20:56.1458 32:60.2894 53:60.5875 58:55.4682
6:72.2804 32:70.3741 48:73.3174 49:65.9366 53:73.3123 65:70.7306
6:89.7817 9:95.7114 32:95.2567 48:90.4168 49:85.0622 64:70.7306
8:75.1422 9:77.1794 10:76.6057 42:58.769 44:74.2591 49:78.693
